model,year,odometer,price,DAS,accident_history,paintJob,wheels,emi,zipCode,interior,driveType,state
Model 3,2020,43292.0,28400,Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",430.0,91301,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,41503.0,29100,Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",442.0,91301,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,46901.0,29500,Enhanced Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",450.0,91301,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,30131.0,29600,Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",451.0,91301,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,49711.0,30300,Enhanced Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",464.0,91301,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,49942.0,30300,Enhanced Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",464.0,91301,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,32158.0,30300,Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",464.0,91301,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,38468.0,30300,Enhanced Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"18"" Aero Wheels",464.0,91301,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,29339.0,30600,Autopilot,No Reported Accidents/Damage,Solid Black Paint,"18"" Aero Wheels",469.0,91301,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,31550.0,30700,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sport Wheels",471.0,91301,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,27678.0,30800,Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",473.0,91301,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,27832.0,31000,Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",477.0,91301,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,17484.0,31400,Autopilot,No Reported Accidents/Damage,Solid Black Paint,"18"" Aero Wheels",484.0,91301,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,28419.0,31400,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic Paint,"18"" Aero Wheels",484.0,91301,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,27650.0,31500,Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",486.0,91301,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,29415.0,31500,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"18"" Aero Wheels",486.0,91301,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,28221.0,31600,Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",487.0,91301,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,21748.0,31900,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"18"" Aero Wheels",493.0,91301,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,20395.0,32300,Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",500.0,91301,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,22457.0,32400,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"18"" Aero Wheels",502.0,91301,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,12968.0,33100,Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",514.0,91301,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,47438.0,33100,Autopilot,No Reported Accidents/Damage,Solid Black Paint,"18"" Aero Wheels",514.0,91301,All Black Premium Interior,All-Wheel Drive,CA
Model 3,2020,16241.0,33300,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"18"" Aero Wheels",518.0,91301,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,10624.0,33300,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic Paint,"18"" Aero Wheels",518.0,91301,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,25710.0,33500,Enhanced Autopilot,No Reported Accidents/Damage,Pearl White Paint,"19"" Sport Wheels",522.0,91301,Black and White Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,28892.0,33800,Full Self-Driving Capability,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"18"" Aero Wheels",527.0,91301,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,13623.0,34800,Full Self-Driving Capability,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"18"" Aero Wheels",545.0,91301,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,26728.0,35100,Full Self-Driving Capability,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",550.0,91301,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,27092.0,35700,Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",561.0,91301,All Black Premium Interior,All-Wheel Drive,CA
Model 3,2020,23925.0,36300,Autopilot,No Reported Accidents/Damage,Red Multi-Coat Paint,"19"" Sport Wheels",572.0,91301,All Black Premium Interior,All-Wheel Drive,CA
Model 3,2020,15885.0,36400,Enhanced Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"18"" Aero Wheels",574.0,91301,All Black Premium Interior,All-Wheel Drive,CA
Model 3,2020,21881.0,37300,Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",590.0,91301,All Black Premium Interior,All-Wheel Drive,CA
Model 3,2020,43292.0,28400,Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",430.0,91801,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,41503.0,29100,Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",442.0,91801,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,46901.0,29500,Enhanced Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",450.0,91801,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,30131.0,29600,Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",451.0,91801,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,49942.0,30300,Enhanced Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",464.0,91801,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,32158.0,30300,Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",464.0,91801,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,49711.0,30300,Enhanced Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",464.0,91801,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,38468.0,30300,Enhanced Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"18"" Aero Wheels",464.0,91801,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,29339.0,30600,Autopilot,No Reported Accidents/Damage,Solid Black Paint,"18"" Aero Wheels",469.0,91801,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,31550.0,30700,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sport Wheels",471.0,91801,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,27678.0,30800,Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",473.0,91801,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,27832.0,31000,Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",477.0,91801,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,17484.0,31400,Autopilot,No Reported Accidents/Damage,Solid Black Paint,"18"" Aero Wheels",484.0,91801,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,28419.0,31400,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic Paint,"18"" Aero Wheels",484.0,91801,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,27650.0,31500,Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",486.0,91801,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,29415.0,31500,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"18"" Aero Wheels",486.0,91801,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,28221.0,31600,Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",487.0,91801,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,21748.0,31900,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"18"" Aero Wheels",493.0,91801,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,20395.0,32300,Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",500.0,91801,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,22457.0,32400,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"18"" Aero Wheels",502.0,91801,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,12968.0,33100,Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",514.0,91801,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,47438.0,33100,Autopilot,No Reported Accidents/Damage,Solid Black Paint,"18"" Aero Wheels",514.0,91801,All Black Premium Interior,All-Wheel Drive,CA
Model 3,2020,10624.0,33300,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic Paint,"18"" Aero Wheels",518.0,91801,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,16241.0,33300,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"18"" Aero Wheels",518.0,91801,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,25710.0,33500,Enhanced Autopilot,No Reported Accidents/Damage,Pearl White Paint,"19"" Sport Wheels",522.0,91801,Black and White Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,28892.0,33800,Full Self-Driving Capability,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"18"" Aero Wheels",527.0,91801,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,13623.0,34800,Full Self-Driving Capability,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"18"" Aero Wheels",545.0,91801,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,26728.0,35100,Full Self-Driving Capability,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",550.0,91801,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,27092.0,35700,Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",561.0,91801,All Black Premium Interior,All-Wheel Drive,CA
Model 3,2020,23925.0,36300,Autopilot,No Reported Accidents/Damage,Red Multi-Coat Paint,"19"" Sport Wheels",572.0,91801,All Black Premium Interior,All-Wheel Drive,CA
Model 3,2020,15885.0,36400,Enhanced Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"18"" Aero Wheels",574.0,91801,All Black Premium Interior,All-Wheel Drive,CA
Model 3,2020,21881.0,37300,Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",590.0,91801,All Black Premium Interior,All-Wheel Drive,CA
Model 3,2020,43292.0,28400,Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",430.0,93311,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,41503.0,29100,Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",442.0,93311,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,46901.0,29500,Enhanced Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",450.0,93311,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,30131.0,29600,Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",451.0,93311,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,36964.0,29800,Autopilot,No Reported Accidents/Damage,Solid Black Paint,"19"" Sport Wheels",455.0,93311,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,49942.0,30300,Enhanced Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",464.0,93311,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,32158.0,30300,Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",464.0,93311,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,49711.0,30300,Enhanced Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",464.0,93311,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,38468.0,30300,Enhanced Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"18"" Aero Wheels",464.0,93311,All Black Partial Premium Interior, Rear-Wheel Drive,CA
